Fungi Treatment,Replicate,BC9,BW86,BW87,BW96
A,1,8.23,9.1,8.54,8.18
A,2,7.44,5.28,5.91,3.65
A,3,8.03,8.46,8.55,8.09
B,1,7.83,9.07,8.64,8.15
B,2,7.82,8.81,8.4,7.46
B,3,7.33,7.32,8.11,7.12
C,1,7.78,8.37,9.06,6.15
C,2,7.99,9.09,8.95,4.53
C,3,7.93,7.7,7.41,3.24
D,1,6.21,5.73,7.31,0
D,2,6.58,6.06,7.08,0
D,3,5.47,3.85,6.16,0
E,1,7.04,6.49,6.3,4.89
E,2,7.03,6.45,4.47,0
E,3,7.64,6.55,6.91,3.76
F,1,4.3,0,8.56,0
F,2,2.36,0.32,8.27,0.24
F,3,3.16,0,8.45,0.44
G,1,6.84,4.84,1.45,0
G,2,6.82,2.16,2.71,0.47
G,3,7.11,4.15,3.3,0.63
H,1,8.01,8.76,8.63,8.7
H,2,8.51,8.99,8.72,8.25
H,3,8.4,8.14,8.21,8.18
I,1,7.92,9.25,8.44,8.74
I,2,7.84,8.81,8.61,8.32
I,3,8.29,8.71,8.81,8.75
